,post_id,owner_id,comment_id,from_id,text,reply_to_user,reply_to_comment,parents_stack,num_answer,date
0,2678,10045,2680,10045,"Липа, это даже не лонгрид, что тут осиливать?))",,,[2679],0,1570007386
1,2678,10045,2681,450913408,"[id10045|Даня], к нему морально готова 😂 начинай 🎉",10045.0,2680.0,[2679],0,1570028010
2,2678,10045,2682,10045,"Липа, в век скоростных технологий и постоянного мнимого отсутствия времени у людей, нужно сначала подготовить к таким коротышам 🙂",450913408.0,2681.0,[2679],0,1570028460
3,2669,10045,2671,10045,"Липа, это ты как художник говоришь?))",,,[2670],0,1568660334
4,2669,10045,2672,450913408,"[id10045|Даня], я на выставке Дани Третьякова, вальяжно, с чувством наслаждения от красоты фототографий, глаза радуются, останавливаю взгляд на этом фото и не могу понять, для чего автор ""повесил"" этот шар, жемчужину, планету, неопознанный объект? в эту фотографию. Может там магнитное поле, а может это луна? Тогда почему так низко или высоко? Я бы вообще убрала этот объект, я понимаю что это фантастика, но я бы тогда его поместила выше и левее, те я подумала бы, что вот круто, ты сфоткал так, что в поле зрения попала планета или то, что выше перечисленное ☺️🧠🎉",10045.0,2671.0,[2670],0,1568661104
5,2669,10045,2673,10045,"Липа, #вальяжнонавыставке 😄👍🏻",450913408.0,2672.0,[2670],0,1568661317
6,2669,10045,2674,450913408,"[id10045|Даня], умею, практикую 🤗",10045.0,2673.0,[2670],0,1568661353
7,2665,10045,2667,10045,"[id450913408|Lipa], ооо да, на заливе очень хорошо может быть!))",,,[2666],0,1568111189
8,2657,10045,2659,10045,"[id25453|Alexey], побывав там, смело могу сказать - это must have! Лично мне, одного раза не хватило.",,,[2658],0,1567259900
9,2657,10045,2660,68143,Привет из Ставропольского края;),,,[2658],0,1567261796
10,2657,10045,2661,10045,"[id68143|Vladimir], сказка!",68143.0,2660.0,[2658],0,1567263087
11,2648,10045,2650,10045,"Ольга, магия на кончиках пальцев))",,,[2649],0,1564307746
12,2629,10045,2631,10045,"[id45940634|Olga], этого никто и не отрицает))",,,[2630],0,1543485268
13,2626,10045,2628,10045,"[id284480952|Евгений], ты знаешь, старина, маленькими шагами приближаюсь к тому, чтобы снимать постановочное «кино» на фото, так что, стараемся))",,,[2627],0,1543352670
14,1913,10076,1915,10076,"[id241699164|Галина], нет. Это заставка курса.",,,[1914],0,1564910634
15,1890,10076,1892,10076,"[id2544560|Ольга], ты синеешь?",,,[1891],0,1551780130
16,1890,10076,1894,10076,"[id2544560|Ольга], от чего?",,,[1893],0,1551780182
17,1890,10076,1895,2544560,"[id10076|Надежда], эээээ конспекты пишешь с рисунками, да разноцветными ручками, тянет за школьную скамью? может второе высшее пора получать?",10076.0,1894.0,[1893],0,1551780297
18,1890,10076,1896,10076,"[id2544560|Ольга], да нафиг надо)",2544560.0,1895.0,[1893],0,1551781320
19,1890,10076,1898,10076,"[id830618|Юлия], так садик вам в помощь)",,,[1897],0,1551788093
20,1890,10076,1900,10076,"[id830618|Юлия], ты сразу в школу его поведешь? Вообще муж есть для всяких лекции)",,,[1899],0,1551794513
21,1890,10076,1904,10076,"[id241699164|Галина], спасибо, любимая)!",,,[1903],0,1551867987
